,Unnamed: 29,Unnamed: 31,correct,cueColor,cueNumber,date,distCode,distrType,expName,expType,frameRate,gender,keyBreak.keys,keyBreak.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,mousePressedStart,participant,practice,prevTrialBreak,respExpected,response,rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trialsPractice.thisIndex,trialsPractice.thisN,trialsPractice.thisRepN,trialsPractice.thisTrialN
0,,,,,,2016_Mar_16_1147,,,ilya4,,119.979718329,m,,,,,space,143.244203147,,10,,,,,,,,,,,,,
1,,,1.0,p,2.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,,,,,,,"[1, 0, 0]",10,1.0,0.0,"[1, 3]",2.0,2.4573929738799998,,,,,6.0,0.0,0.0,0.0
2,,,0.0,g,1.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[1, 3]",2.0,-0.557518739197,,,,,1.0,1.0,0.0,1.0
3,,,1.0,g,1.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[1, 3]",1.0,0.964673753418,,,,,0.0,2.0,0.0,2.0
4,,,1.0,g,1.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[1, 3]",1.0,0.739693434499,,,,,2.0,3.0,0.0,3.0
5,,,1.0,p,2.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[1, 3]",2.0,0.414629863631,,,,,7.0,4.0,0.0,4.0
6,,,1.0,p,2.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[1, 3]",2.0,0.389654555414,,,,,4.0,5.0,0.0,5.0
7,,,1.0,p,2.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[1, 3]",2.0,0.439630527571,,,,,5.0,6.0,0.0,6.0
8,,,1.0,g,1.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[1, 3]",1.0,0.439668863602,,,,,3.0,7.0,0.0,7.0
9,,,,,,2016_Mar_16_1147,,,ilya4,,119.979718329,m,,,space,15.6014726977,,,,10,,,,,,,,,,,,,
10,,,1.0,g,1.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,space,3.7087494931199996,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.46791418368,1.0,0.0,0.0,0.0,,,,
11,,,1.0,g,1.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,0.0,"[1, 3]",1.0,0.464105357472,1.0,1.0,0.0,1.0,,,,
12,,,1.0,g,1.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.489387955572,0.0,2.0,0.0,2.0,,,,
13,,,1.0,p,2.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.36443595081600005,4.0,3.0,0.0,3.0,,,,
14,,,1.0,g,1.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.339377028458,2.0,4.0,0.0,4.0,,,,
15,,,1.0,p,2.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.289356985185,5.0,5.0,0.0,5.0,,,,
16,,,1.0,g,1.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 0]",10,0.0,1.0,"[1, 3]",1.0,0.514395260774,3.0,6.0,0.0,6.0,,,,
17,,,1.0,p,2.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.68928882625,6.0,7.0,0.0,7.0,,,,
18,,,1.0,p,2.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.339427740369,4.0,8.0,1.0,0.0,,,,
19,,,1.0,p,2.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.36428502300800003,7.0,9.0,1.0,1.0,,,,
20,,,1.0,g,1.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.36440787795900004,0.0,10.0,1.0,2.0,,,,
21,,,0.0,p,2.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.46435710560500004,5.0,11.0,1.0,3.0,,,,
22,,,1.0,p,2.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,-0.485684429705,5.0,12.0,1.0,4.0,,,,
23,,,1.0,g,1.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.364365014303,1.0,13.0,1.0,5.0,,,,
24,,,0.0,g,1.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.189423755798,0.0,14.0,1.0,6.0,,,,
25,,,1.0,g,1.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.86444410082,0.0,15.0,1.0,7.0,,,,
26,,,1.0,p,2.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.33941596798600004,6.0,16.0,2.0,0.0,,,,
27,,,1.0,p,2.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.38940491998599996,4.0,17.0,2.0,1.0,,,,
28,,,1.0,p,2.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.414393208046,7.0,18.0,2.0,2.0,,,,
29,,,1.0,p,2.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.389409749359,6.0,19.0,2.0,3.0,,,,
30,,,1.0,p,2.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.314410172459,5.0,20.0,2.0,4.0,,,,
31,,,1.0,g,1.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.389288403615,3.0,21.0,2.0,5.0,,,,
32,,,1.0,g,1.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 0]",10,0.0,1.0,"[1, 3]",1.0,0.514433294591,3.0,22.0,2.0,6.0,,,,
33,,,1.0,p,2.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,-0.558306282796,7.0,23.0,2.0,7.0,,,,
34,,,1.0,g,1.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.439412889127,2.0,24.0,3.0,0.0,,,,
35,,,1.0,g,1.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.36439248366300003,2.0,25.0,3.0,1.0,,,,
36,,,1.0,p,2.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.364425989389,7.0,26.0,3.0,2.0,,,,
37,,,1.0,p,2.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.36432245286200005,7.0,27.0,3.0,3.0,,,,
38,,,1.0,p,2.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.389376243632,7.0,28.0,3.0,4.0,,,,
39,,,1.0,p,2.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.514378055055,7.0,29.0,3.0,5.0,,,,
40,,,1.0,g,1.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.364374372233,1.0,30.0,3.0,6.0,,,,
41,,,1.0,g,1.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.414411319476,1.0,31.0,3.0,7.0,,,,
42,,,1.0,g,1.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.439438848812,3.0,32.0,4.0,0.0,,,,
43,,,1.0,p,2.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.41411399055299997,6.0,33.0,4.0,1.0,,,,
44,,,1.0,p,2.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.339403893389,7.0,34.0,4.0,2.0,,,,
45,,,1.0,p,2.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.389441746809,4.0,35.0,4.0,3.0,,,,
46,,,1.0,g,1.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.414425808527,0.0,36.0,4.0,4.0,,,,
47,,,1.0,g,1.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.439402324203,3.0,37.0,4.0,5.0,,,,
48,,,1.0,g,1.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.38939344935099995,1.0,38.0,4.0,6.0,,,,
49,,,1.0,g,1.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 0]",10,0.0,1.0,"[1, 3]",1.0,0.364434441607,3.0,39.0,4.0,7.0,,,,
50,,,0.0,g,1.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,-0.558318357393,2.0,40.0,5.0,0.0,,,,
51,,,1.0,g,1.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,0.0,"[1, 3]",1.0,0.43942949134900006,3.0,41.0,5.0,1.0,,,,
52,,,1.0,g,1.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.414358494394,3.0,42.0,5.0,2.0,,,,
53,,,1.0,g,1.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.38938228093099997,0.0,43.0,5.0,3.0,,,,
54,,,1.0,g,1.0,2016_Mar_16_1147,i,index,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.414403169006,1.0,44.0,5.0,4.0,,,,
55,,,1.0,p,2.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.36437829636,6.0,45.0,5.0,5.0,,,,
56,,,1.0,g,1.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.314409870245,0.0,46.0,5.0,6.0,,,,
57,,,1.0,g,1.0,2016_Mar_16_1147,0,baseline,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.389418201577,0.0,47.0,5.0,7.0,,,,
58,,,1.0,g,1.0,2016_Mar_16_1147,b,ring,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",1.0,0.439408361036,3.0,48.0,6.0,0.0,,,,
59,,,1.0,p,2.0,2016_Mar_16_1147,m,middle,ilya4,index_ring,119.979718329,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[1, 3]",2.0,0.389381676968,6.0,49.0,6.0,1.0,,,,
