,Unnamed: 29,Unnamed: 31,correct,cueColor,cueNumber,date,distCode,distrType,expName,expType,frameRate,gender,keyBreak.keys,keyBreak.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,mousePressedStart,participant,practice,prevTrialBreak,respExpected,response,rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trialsPractice.thisIndex,trialsPractice.thisN,trialsPractice.thisRepN,trialsPractice.thisTrialN
0,,,,,,2016_Mar_29_1307,,,ilya5c-p,,120.023621569,m,,,,,space,11.6560488155,,10,,,,,,,,,,,,,
1,,,1.0,g,1.0,2016_Mar_29_1307,b,ring,ilya5c-p,middle_ring,120.023621569,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[2, 3]",1.0,0.6372727656830001,,,,,3.0,0.0,0.0,0.0
2,,,1.0,g,1.0,2016_Mar_29_1307,0,baseline,ilya5c-p,middle_ring,120.023621569,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[2, 3]",1.0,0.514485945777,,,,,0.0,1.0,0.0,1.0
3,,,1.0,p,2.0,2016_Mar_29_1307,m,middle,ilya5c-p,middle_ring,120.023621569,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[2, 3]",2.0,0.414678225582,,,,,6.0,2.0,0.0,2.0
4,,,1.0,p,2.0,2016_Mar_29_1307,i,index,ilya5c-p,middle_ring,120.023621569,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[2, 3]",2.0,0.314657397799,,,,,5.0,3.0,0.0,3.0
5,,,1.0,g,1.0,2016_Mar_29_1307,m,middle,ilya5c-p,middle_ring,120.023621569,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[2, 3]",1.0,0.38966132188,,,,,2.0,4.0,0.0,4.0
6,,,1.0,p,2.0,2016_Mar_29_1307,0,baseline,ilya5c-p,middle_ring,120.023621569,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[2, 3]",2.0,0.489683960766,,,,,4.0,5.0,0.0,5.0
7,,,1.0,g,1.0,2016_Mar_29_1307,i,index,ilya5c-p,middle_ring,120.023621569,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[2, 3]",1.0,0.364657095951,,,,,1.0,6.0,0.0,6.0
8,,,1.0,p,2.0,2016_Mar_29_1307,b,ring,ilya5c-p,middle_ring,120.023621569,m,,,,,,,"[1, 0, 1]",10,1.0,0.0,"[2, 3]",2.0,0.464618760712,,,,,7.0,7.0,0.0,7.0
9,,,,,,2016_Mar_29_1307,,,ilya5c-p,,120.023621569,m,,,space,4.43367613677,,,,10,,,,,,,,,,,,,
10,,,0.0,g,1.0,2016_Mar_29_1307,0,baseline,ilya5c-p,middle_ring,120.023621569,m,space,1.40849623288,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",2.0,0.287732486553,0.0,0.0,0.0,0.0,,,,
11,,,1.0,g,1.0,2016_Mar_29_1307,b,ring,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,0.0,"[2, 3]",1.0,0.464658001523,3.0,1.0,0.0,1.0,,,,
12,,,1.0,p,2.0,2016_Mar_29_1307,0,baseline,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",2.0,0.689430404947,4.0,2.0,0.0,2.0,,,,
13,,,1.0,g,1.0,2016_Mar_29_1307,i,index,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",1.0,0.389431914225,1.0,3.0,0.0,3.0,,,,
14,,,1.0,g,1.0,2016_Mar_29_1307,i,index,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",1.0,0.63944640313,1.0,4.0,0.0,4.0,,,,
15,,,1.0,p,2.0,2016_Mar_29_1307,b,ring,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",2.0,0.41444217719000004,7.0,5.0,0.0,5.0,,,,
16,,,1.0,g,1.0,2016_Mar_29_1307,m,middle,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",1.0,0.414333510414,2.0,6.0,0.0,6.0,,,,
17,,,1.0,g,1.0,2016_Mar_29_1307,0,baseline,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",1.0,0.46443161240099995,0.0,7.0,0.0,7.0,,,,
18,,,1.0,p,2.0,2016_Mar_29_1307,m,middle,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",2.0,0.489381203047,6.0,8.0,1.0,0.0,,,,
19,,,1.0,p,2.0,2016_Mar_29_1307,b,ring,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",2.0,0.43943161237800005,7.0,9.0,1.0,1.0,,,,
20,,,1.0,p,2.0,2016_Mar_29_1307,m,middle,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",2.0,0.839416217901,6.0,10.0,1.0,2.0,,,,
21,,,1.0,p,2.0,2016_Mar_29_1307,i,index,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",2.0,0.589402332725,5.0,11.0,1.0,3.0,,,,
22,,,0.0,p,2.0,2016_Mar_29_1307,i,index,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",1.0,0.414411690142,5.0,12.0,1.0,4.0,,,,
23,,,1.0,g,1.0,2016_Mar_29_1307,0,baseline,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",1.0,0.439424971611,0.0,13.0,1.0,5.0,,,,
24,,,1.0,p,2.0,2016_Mar_29_1307,b,ring,ilya5c-p,middle_ring,120.023621569,m,None,,,,,,"[1, 0, 1]",10,0.0,1.0,"[2, 3]",2.0,0.489370940076,7.0,14.0,1.0,6.0,,,,
