Unnamed: 13,allowed_keys,date,expName,frameRate,img,limit_chars,participant,que,resp,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN
,['return'],2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides1.jpg,"[0, 0]",2,intro,,0,0,0,0
,[],2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides0.jpg,"[1, 140]",2,debrief,םיאור ונחנאש המ וא חומה ףוגה לע טלושש ימ תעדל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides5.jpg,"[1, 1]",2,degree,1,2,2,0,2
,[],2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides6.jpg,"[1, 140]",2,faculty,דחוימ ךוניח היגולוכיספ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides7.jpg,"[1, 3]",2,gpa,90,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides2.jpg,"[1, 1]",2,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides3.jpg,"[1, 2]",2,age,19,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides4.jpg,"[3, 3]",2,sat,623,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides8.jpg,"[1, 1]",2,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides9.jpg,"[1, 1]",2,adhd,2,9,9,0,9
,[],2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides10.jpg,"[1, 140]",2,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides11.jpg,"[1, 1]",2,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_03_1629,demog_exp,119.926769398,Slides\Slides13.jpg,"[1, 1]",2,color_blind,1,12,12,0,12
